       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.6000        0.4000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.38924  11.15356   8.77235  1.07131E+00  8.68403E-01  1.98631E+08  2.14891E+08  3.22467E+16  2.14891E+06 -2.12795E+15  3.22327 -99.00000   0.99025   0.90666   0.10000 -234.81306
2.02   1.40898  11.15442   8.79366  1.06220E+00  1.07359E+00  7.60180E+07  1.10144E+08 -1.88722E+16  1.05186E+06 -2.62919E+15  3.22327 -99.00000   0.73310   0.69346   0.32561 -234.88214
2.04   1.43111  11.15528   8.80116  1.03882E+00  1.11793E+00  5.29679E+07  1.09886E+08 -3.18229E+16  1.00217E+06 -2.75120E+15  3.22327 -99.00000   0.50074   0.51868   0.50000 -234.95122
2.06   1.45310  11.15618   8.79977  1.01896E+00  1.07154E+00  5.19974E+07  1.07436E+08 -2.03075E+16  9.35732E+05 -2.64916E+15  3.22327 -99.00000   0.49316   0.50930   0.50000 -235.02029
2.08   1.47372  11.15710   8.79280  1.01198E+00  9.86517E-01  2.41350E+08  2.67077E+08  4.01335E+15  2.22145E+06 -2.44242E+15  3.22327 -99.00000   0.91450   0.90118   0.10000 -235.08937
2.10   1.49250  11.15807   8.78186  1.02292E+00  8.91277E-01  2.15112E+08  2.35141E+08  3.37923E+16  1.86779E+06 -2.20043E+15  3.22327 -99.00000   0.93579   0.90224   0.10000 -235.15845
2.12   1.51016  11.15908   8.76839  1.04799E+00  9.09853E-01  1.08346E+08  1.29448E+08  2.91819E+16  9.81964E+05 -2.23426E+15  3.22327 -99.00000   0.87715   0.81224   0.19677 -235.22754
2.14   1.52986  11.16013   8.75617  1.05405E+00  1.07333E+00  6.35845E+07  1.02499E+08 -2.48403E+16  7.42542E+05 -2.63388E+15  3.22327 -99.00000   0.65387   0.62716   0.39299 -235.29662
2.16   1.55299  11.16123   8.74802  1.01935E+00  1.20202E+00  5.82926E+07  1.38269E+08 -7.21755E+16  9.56590E+05 -2.97102E+15  3.22327 -99.00000   0.42974   0.50949   0.50000 -235.36569
2.18   1.57609  11.16241   8.74936  9.80257E-01  1.08094E+00  5.49012E+07  1.25477E+08 -3.04975E+16  8.29019E+05 -2.69086E+15  3.22327 -99.00000   0.42890   0.48993   0.50000 -235.43477
